股票代码,代码,股票名称,成交价,价格变动,涨跌幅,买入价,卖出价,昨收,开盘价,最高价,最低价,成交量,成交额,时间,市盈率,市净率,总市值,流通市值,换手率
bj430017,430017,星昊医药,13.340,-0.14,-1.039,13.330,13.340,13.480,13.300,13.740,13.200,1958113,26367182,15:30:00,14.5,1.102,163517.9848,104912.261916,2.48982
bj430047,430047,诺思兰德,15.780,-0.58,-3.545,15.770,15.780,16.360,16.360,16.360,15.730,1371443,21983615,15:30:00,-60.692,26.001,433751.130972,260994.933762,0.82919
bj430090,430090,同辉信息,4.500,0.02,0.446,4.500,4.510,4.480,4.430,4.690,4.350,13074533,59425607,15:30:00,-20.152,3.082,89700.0957,82344.7503,7.14501
bj430139,430139,华岭股份,14.030,-0.96,-6.404,14.030,14.100,14.990,14.400,14.900,13.720,6679518,95092609,15:30:00,46.767,3.435,374320.4,186207.881481,5.03274
bj430198,430198,微创光电,10.250,-0.46,-4.295,10.250,10.300,10.710,10.160,11.450,10.050,14763995,156159806,15:30:00,-60.294,2.778,165397.9688,66532.166775,22.74553
bj430300,430300,辰光医疗,11.760,0.09,0.771,11.760,11.780,11.670,11.630,12.780,11.600,4058423,50110189,15:30:00,34.588,3.434,100956.220176,61420.256184,7.77057
bj430418,430418,苏轴股份,23.590,-1.06,-4.3,23.520,23.590,24.650,24.300,24.400,23.300,2935989,69699721,15:30:00,27.115,3.391,228162.48,120645.197603,5.7408
bj430425,430425,乐创技术,20.080,-1.04,-4.924,20.080,20.150,21.120,21.080,21.750,19.850,1376333,28940194,15:30:00,18.766,3.077,72673.770936,38085.970936,7.25642
bj430476,430476,海能技术,11.170,-0.16,-1.412,11.170,11.190,11.330,11.390,11.550,11.140,712160,8061279,15:30:00,18.617,1.92,94475.6366,66134.06262,1.20283
bj430478,430478,峆一药业,21.820,-0.73,-3.237,21.820,21.830,22.550,21.300,22.510,21.300,1784045,38945227,15:30:00,11.606,1.959,87623.665,41932.637368,9.28343
bj430489,430489,佳先股份,7.590,-0.17,-2.191,7.590,7.610,7.760,7.600,8.180,7.490,9546899,74206664,15:30:00,17.25,1.983,103572.5328,65041.555491,11.14072
bj430510,430510,丰光精密,20.600,0.14,0.684,20.600,20.660,20.460,19.330,22.100,19.330,5314578,112894685,15:30:00,37.037,6.622,271057.63868,129628.33868,8.44571
bj430556,430556,雅达股份,5.330,-0.18,-3.267,5.320,5.330,5.510,5.560,5.590,5.300,3257233,17684366,15:30:00,15.676,1.699,85981.0016,42209.258182,4.11309
bj430564,430564,天润科技,12.820,-0.43,-3.245,12.820,12.860,13.250,12.980,13.670,12.720,2645188,34902429,15:30:00,18.853,3.166,95546.201076,26765.12807,12.66996
bj430685,430685,新芝生物,11.190,-0.26,-2.271,11.180,11.190,11.450,11.400,11.900,11.150,1486519,17260797,15:30:00,20.345,1.994,102406.337979,49889.989479,3.33417
bj430718,430718,合肥高科,10.870,-0.15,-1.361,10.850,10.870,11.020,10.900,11.170,10.720,1006271,11004805,15:30:00,16.47,2.0,98554.7029,26514.2127,4.1254
bj830779,830779,武汉蓝电,29.290,-0.42,-1.414,29.260,29.290,29.710,29.470,30.110,29.010,306100,9050797,15:30:00,19.397,3.473,167538.8,41884.702929,2.14056
bj830799,830799,艾融软件,13.500,-0.63,-4.459,13.500,13.510,14.130,13.730,14.830,13.440,11765730,166278558,15:30:00,54.0,7.903,283998.555,158697.75015,10.0088
bj830809,830809,安达科技,5.390,-0.17,-3.058,5.390,5.400,5.560,5.530,5.600,5.360,3708827,20359460,15:30:00,3.267,1.252,329604.332519,178755.656772,1.11832
bj830832,830832,齐鲁华信,5.150,0.01,0.195,5.140,5.150,5.140,5.140,5.360,5.060,1820073,9442496,15:30:00,15.237,0.933,71463.390475,64299.60606,1.45777
bj830839,830839,万通液压,11.920,-0.43,-3.482,11.920,11.930,12.350,12.330,12.450,11.810,922416,11156331,15:30:00,21.864,2.863,142256.26,76742.599,1.43274
bj830879,830879,基康仪器,9.780,-0.12,-1.212,9.780,9.790,9.900,9.900,10.150,9.750,593899,5896712,15:30:00,20.817,2.584,136428.824928,51283.813386,1.13259
bj830896,830896,旺成科技,9.200,-0.25,-2.646,9.200,9.220,9.450,9.400,9.690,9.140,1616968,15254576,15:30:00,19.167,2.368,93126.3008,23424.12092,6.35076
bj830946,830946,森萱医药,8.410,-0.22,-2.549,8.400,8.410,8.630,8.480,8.770,8.410,3047899,26061274,15:30:00,22.361,3.247,359038.32394,358880.63644,0.71424
bj830964,830964,润农节水,3.530,-0.04,-1.12,3.530,3.540,3.570,3.540,3.630,3.520,4359844,15570756,15:30:00,18.579,1.039,92206.424,63326.580083,2.4303
bj830974,830974,凯大催化,8.470,-0.1,-1.167,8.470,8.480,8.570,8.500,8.620,8.230,4874384,41061488,15:30:00,18.822,2.139,138738.6,90564.116412,4.55876
bj831010,831010,凯添燃气,4.920,-0.09,-1.796,4.920,4.930,5.010,5.000,5.100,4.880,4610241,23028354,15:30:00,20.5,1.816,115374.0,79294.706676,2.86052
bj831039,831039,国义招标,8.890,-0.7,-7.299,8.890,8.900,9.590,9.250,9.600,8.710,7730790,70525503,15:30:00,20.674,2.331,136745.98,136745.8911,5.02587
bj831087,831087,秋乐种业,11.600,1.13,10.793,11.600,11.610,10.470,10.400,11.850,10.320,9562139,105975634,15:30:00,25.256,3.975,191632.0,82638.516,13.42241
bj831152,831152,昆工科技,14.840,0.17,1.159,14.760,14.840,14.670,14.500,15.200,14.500,881621,13075437,15:30:00,30.917,3.534,161150.0828,124192.2129,1.05347
bj831167,831167,鑫汇科,15.110,-0.46,-2.954,15.100,15.110,15.570,15.450,16.100,15.100,1050630,16404984,15:30:00,32.848,2.983,75524.223851,30540.774723,5.19798
bj831175,831175,派诺科技,15.940,-0.16,-0.994,15.910,15.940,16.100,16.000,16.780,15.620,1969113,32026646,15:30:00,17.91,2.101,126898.34,39132.26165,8.02092
bj831195,831195,三祥科技,13.150,-0.05,-0.379,13.140,13.150,13.200,13.200,13.760,13.120,3400250,45777315,15:30:00,19.924,1.926,128909.45,51586.135,8.66769
bj831278,831278,泰德股份,4.920,0.04,0.82,4.920,4.930,4.880,4.830,5.170,4.780,5510746,27540289,15:30:00,32.8,2.204,76518.792,47975.370672,5.65141
bj831304,831304,迪尔化工,8.050,-0.44,-5.183,8.050,8.060,8.490,8.290,8.810,8.000,6355430,53517184,15:30:00,14.709,2.996,130641.84,51828.24255,9.8713
bj831305,831305,海希通讯,11.060,-0.16,-1.426,11.060,11.080,11.220,11.100,11.280,11.000,892925,9911032,15:30:00,25.721,2.04,155127.56,121356.064564,0.81378
bj831370,831370,新安洁,2.930,-0.03,-1.014,2.930,2.940,2.960,2.950,2.990,2.920,2868053,8493196,15:30:00,-17.235,1.24,89740.04,78370.312417,1.07227
bj831396,831396,N许智,7.420,2.82,61.304,7.420,7.430,4.600,8.800,9.280,7.390,59147566,492067407,15:30:00,20.054,3.015,119239.4,63855.067906,68.72985
bj831445,831445,龙竹科技,6.250,-0.19,-2.95,6.250,6.290,6.440,6.390,6.540,6.250,1882564,12044247,15:30:00,21.552,2.466,93160.640625,57785.29625,2.03616
bj831526,831526,凯华材料,31.480,3.93,14.265,31.440,31.480,27.550,27.120,35.810,26.800,14666736,464857086,15:30:00,116.593,12.721,260339.6,77692.854064,59.42745
bj831627,831627,力王股份,14.830,0.31,2.135,14.820,14.830,14.520,14.110,15.680,13.830,5595246,84329919,15:30:00,26.482,3.332,140069.35,36331.5721,22.83895
bj831641,831641,格利尔,9.350,-0.51,-5.172,9.350,9.370,9.860,9.840,10.050,9.300,1746573,17132542,15:30:00,9.444,2.055,77282.425,24392.90645,6.69476
bj831689,831689,克莱特,13.150,-0.48,-3.522,13.150,13.160,13.630,13.690,13.980,13.150,347813,4756155,15:30:00,18.521,2.215,96521.0,46929.921195,0.97459
bj831726,831726,朱老六,9.150,-0.4,-4.188,9.090,9.150,9.550,9.600,9.680,8.930,1454319,13773452,15:30:00,14.446,2.029,93247.65,51184.830075,2.5998
bj831768,831768,拾比佰,5.500,-0.04,-0.722,5.500,5.510,5.540,5.530,5.780,5.410,1645032,9158098,15:30:00,45.833,0.928,61033.5,42331.1988,2.13735
bj831832,831832,科达自控,15.480,0.13,0.847,15.480,15.560,15.350,15.450,16.080,15.240,1688263,26496892,15:30:00,19.846,1.901,119629.44,95526.380304,2.73582
bj831834,831834,三维股份,6.670,-0.21,-3.052,6.660,6.670,6.880,6.850,7.120,6.640,2142162,14770094,15:30:00,18.027,2.794,80040.003335,21986.990668,6.49849
bj831855,831855,浙江大农,10.820,0.03,0.278,10.820,10.850,10.790,10.790,11.680,10.650,1426216,15821847,15:30:00,14.427,1.528,80861.466306,23071.892832,6.68851
bj831856,831856,浩淼科技,7.060,-0.02,-0.282,7.040,7.060,7.080,7.070,7.200,7.010,1323121,9409333,15:30:00,17.22,1.384,61441.911318,39706.217306,2.35259
bj831906,831906,舜宇精工,16.650,-0.12,-0.716,16.650,16.670,16.770,16.590,17.470,16.490,2323955,39411334,15:30:00,14.231,2.034,108175.05,33240.726,11.6405
bj831961,831961,创远信科,12.070,-0.52,-4.13,12.070,12.080,12.590,12.330,12.550,11.980,3450044,42255921,15:30:00,75.438,2.362,172408.493156,127264.641256,3.27208
bj832000,832000,安徽凤凰,8.860,-0.15,-1.665,8.860,8.870,9.010,8.940,9.280,8.840,1432604,13024261,15:30:00,20.136,1.496,81228.48,29070.883566,4.36618
bj832023,832023,田野股份,3.340,-0.04,-1.183,3.340,3.350,3.380,3.350,3.430,3.330,4060362,13694604,15:30:00,16.852,0.923,109319.536,82158.4556,1.65067
bj832089,832089,禾昌聚合,14.800,-0.22,-1.465,14.790,14.800,15.020,14.840,15.100,14.720,529318,7902305,15:30:00,17.412,1.621,159277.6,98843.72252,0.79255
bj832110,832110,雷特科技,18.800,-0.49,-2.54,18.800,18.880,19.290,19.290,19.580,18.360,961923,18149658,15:30:00,16.068,2.187,73320.0,22610.76,7.99803
bj832145,832145,恒合股份,7.030,-0.06,-0.846,7.030,7.050,7.090,7.170,7.300,7.030,760804,5436454,15:30:00,87.875,1.792,49596.65,31513.55675,1.69719
bj832149,832149,利尔达,5.510,-0.19,-3.333,5.500,5.510,5.700,5.680,5.770,5.470,4578135,25778241,15:30:00,19.679,2.952,232318.13,63110.902493,3.99702
bj832171,832171,志晟信息,10.840,1.24,12.917,10.840,10.870,9.600,9.070,11.800,9.070,13355029,141597294,15:30:00,-57.053,2.929,108652.82674,72804.944572,19.88443
bj832175,832175,东方碳素,9.880,-0.13,-1.299,9.860,9.880,10.010,10.060,10.180,9.880,1334858,13333107,15:30:00,8.517,1.393,117572.0,59767.379412,2.20662
bj832225,832225,利通科技,17.360,0.2,1.166,17.350,17.360,17.160,17.330,17.810,17.060,1791142,30693540,15:30:00,21.975,3.312,183609.33332,100061.92028,3.1075
bj832278,832278,鹿得医疗,6.850,-0.15,-2.143,6.850,6.860,7.000,6.940,7.080,6.800,2233438,15519293,15:30:00,34.439,3.137,120560.0,49997.054,3.05999
bj832419,832419,路斯股份,11.300,-0.28,-2.418,11.300,11.320,11.580,11.510,11.700,11.250,827538,9426868,15:30:00,26.297,2.524,116894.432,104816.03037,0.89215
bj832469,832469,富恒新材,15.550,2.46,18.793,15.550,15.570,13.090,13.100,15.850,12.880,9124450,136931907,15:30:00,27.768,3.947,168593.1,49446.02684,28.69496
bj832471,832471,美邦科技,9.590,-0.31,-3.131,9.580,9.590,9.900,9.890,10.060,9.530,903598,8910733,15:30:00,11.047,1.443,79788.8,27412.193137,3.16119
bj832491,832491,奥迪威,15.720,0.0,0.0,15.720,15.780,15.720,15.770,15.960,15.430,1701849,26825819,15:30:00,37.429,2.379,221902.495056,175758.146964,1.52215
bj832522,832522,纳科诺尔,20.010,0.1,0.502,20.000,20.010,19.910,19.930,20.660,19.750,1388452,28159948,15:30:00,10.209,2.741,186833.37,101249.5995,2.744
bj832566,832566,梓橦宫,8.350,-0.25,-2.907,8.350,8.390,8.600,8.500,8.750,8.330,2463080,21023719,15:30:00,11.929,1.726,122378.5018,93878.850435,2.19077
bj832651,832651,天罡股份,16.500,-0.07,-0.422,16.290,16.500,16.570,16.540,16.940,16.210,343476,5708865,15:30:00,14.534,2.238,100650.0,25203.53715,2.24863
bj832662,832662,方盛股份,13.990,-0.49,-3.384,13.990,14.000,14.480,14.300,14.700,13.920,1745145,25009955,15:30:00,16.855,2.812,122482.452798,33828.781113,7.2171
bj832735,832735,德源药业,26.410,-0.74,-2.726,26.400,26.410,27.150,27.150,27.180,26.380,257534,6912500,15:30:00,13.827,2.316,206645.15064,144636.723413,0.47025
bj832786,832786,骑士乳业,7.580,-0.09,-1.173,7.580,7.590,7.670,7.450,7.850,7.390,4752166,36156842,15:30:00,16.478,2.0,158462.174,60544.27976,5.9496
bj832802,832802,保丽洁,10.790,-0.13,-1.19,10.790,10.920,10.920,10.810,11.190,10.610,1255236,13719960,15:30:00,16.155,1.675,68066.8807,17312.8787,7.82308
bj832876,832876,慧为智能,14.320,-0.51,-3.439,14.320,14.350,14.830,14.500,15.550,14.220,3436325,51092699,15:30:00,28.726,3.619,91906.703688,30402.730424,16.18545
bj832885,832885,星辰科技,7.110,-0.07,-0.975,7.110,7.130,7.180,7.180,7.400,7.020,3135977,22657744,15:30:00,22.935,3.328,121662.73656,61791.615018,3.60839
bj832978,832978,开特股份,12.250,0.32,2.682,12.240,12.250,11.930,12.150,12.880,11.950,4517068,56377069,15:30:00,25.0,3.646,216704.2983,105180.292175,5.26088
bj832982,832982,锦波生物,234.600,4.17,1.81,234.510,234.600,230.430,228.000,236.660,227.440,165151,38594135,15:30:00,134.057,18.877,1597297.56,557374.15194,0.69512
bj833030,833030,立方控股,13.090,-0.12,-0.908,13.090,13.100,13.210,13.390,13.390,12.940,1044013,13809774,15:30:00,23.8,1.96,120746.395924,29325.169643,4.6602
bj833075,833075,柏星龙,11.840,-0.41,-3.347,11.840,11.850,12.250,12.000,12.560,11.840,1317340,16072468,15:30:00,15.722,1.982,76740.96,29154.52,5.34988
bj833171,833171,国航远洋,4.790,-0.09,-1.844,4.790,4.800,4.880,4.880,5.080,4.770,20636750,101703545,15:30:00,11.316,1.95,266040.169987,105260.382204,9.391
bj833230,833230,欧康医药,11.800,-0.44,-3.595,11.750,11.800,12.240,12.200,12.270,11.700,504027,6021258,15:30:00,20.702,2.3,89245.05672,22311.26418,2.6657
bj833266,833266,生物谷,10.790,-0.83,-7.143,10.790,10.800,11.620,11.350,11.580,10.770,6528966,72685476,15:30:00,-26.975,1.315,133796.007553,101726.885624,6.92516
bj833284,833284,灵鸽科技,10.230,-0.12,-1.159,10.230,10.280,10.350,10.350,10.680,10.190,1837194,19131592,15:30:00,19.53,3.928,107195.714835,26008.041015,7.22642
bj833346,833346,威贸电子,13.250,-1.17,-8.114,13.250,13.400,14.420,13.730,14.410,13.160,6581980,90659481,15:30:00,28.804,2.54,106904.448975,37598.336475,23.1955
bj833394,833394,民士达,15.550,-0.51,-3.176,15.540,15.550,16.060,15.830,16.290,15.550,1718222,27391458,15:30:00,25.492,3.641,227418.75,65792.05,4.06103
bj833427,833427,华维设计,11.470,0.79,7.397,11.460,11.470,10.680,10.550,12.000,10.100,4972805,54811541,15:30:00,35.844,3.391,118249.965,45161.521494,12.62979
