电影名称,电影类型,电影评分,电影标语
肖申克的救赎 / TheShawshankRedemption / 月黑高飞(港)/刺激1995(台),犯罪 剧情,9.7,希望让人自由。
霸王别姬 / 再见，我的妾/FarewellMyConcubine,剧情 爱情 同性,9.6,风华绝代。
阿甘正传 / ForrestGump / 福雷斯特·冈普,剧情 爱情,9.5,一部美国近现代史。
泰坦尼克号 / Titanic / 铁达尼号(港/台),剧情 爱情 灾难,9.5,失去的才是永恒的。 
千与千寻 / 千と千尋の神隠し / 神隐少女(台)/千与千寻的神隐,剧情 动画 奇幻,9.4,最好的宫崎骏，最好的久石让。 
这个杀手不太冷 / Léon / 终极追杀令(台)/杀手莱昂,剧情 动作 犯罪,9.4,怪蜀黍和小萝莉不得不说的故事。
美丽人生 / Lavitaèbella / 一个快乐的传说(港)/LifeIsBeautiful,剧情 喜剧 爱情 战争,9.5,最美的谎言。
星际穿越 / Interstellar / 星际启示录(港)/星际效应(台),剧情 科幻 冒险,9.4,爱是一种力量，让我们超越时空感知它的存在。
盗梦空间 / Inception / 潜行凶间(港)/全面启动(台),剧情 科幻 悬疑 冒险,9.4,诺兰给了我们一场无法盗取的梦。
辛德勒的名单 / Schindler'sList / 舒特拉的名单(港)/辛德勒名单,剧情 历史 战争,9.5,拯救一个人，就是拯救整个世界。
楚门的世界 / TheTrumanShow / 真人Show(港)/真人戏,剧情 科幻,9.4,如果再也不能见到你，祝你早安，午安，晚安。
忠犬八公的故事 / Hachi:ADog'sTale / 秋田犬八千(港)/忠犬小八(台),剧情,9.4,永远都不能忘记你所爱的人。
海上钢琴师 / Laleggendadelpianistasull'oceano / 声光伴我飞(港)/一九零零的传奇,剧情 音乐,9.3,每个人都要走一条自己坚定了的路，就算是粉身碎骨。 
三傻大闹宝莱坞 / 3Idiots / 三个傻瓜(台)/作死不离3兄弟(港),剧情 喜剧 爱情 歌舞,9.2,英俊版憨豆，高情商版谢耳朵。
放牛班的春天 / Leschoristes / 歌声伴我心(港)/唱诗班男孩,剧情 音乐,9.3,天籁一般的童声，是最接近上帝的存在。 
机器人总动员 / WALL·E / 太空奇兵·威E(港)/瓦力(台),科幻 动画 冒险,9.3,小瓦力，大人生。
疯狂动物城 / Zootopia / 优兽大都会(港)/动物方城市(台),喜剧 动画 冒险,9.2,迪士尼给我们营造的乌托邦就是这样，永远善良勇敢，永远出乎意料。
无间道 / 無間道 / InfernalAffairs/Mougaandou,剧情 犯罪 惊悚,9.3,香港电影史上永不过时的杰作。
控方证人 / WitnessfortheProsecution / 雄才伟略/情妇,剧情 犯罪 悬疑,9.6,比利·怀德满分作品。
大话西游之大圣娶亲 / 西遊記大結局之仙履奇緣 / 西游记完结篇仙履奇缘/齐天大圣西游记,喜剧 爱情 奇幻 古装,9.2,一生所爱。
熔炉 / 도가니 / 无声呐喊(港)/漩涡,剧情,9.4,我们一路奋战不是为了改变世界，而是为了不让世界改变我们。
教父 / TheGodfather / MarioPuzo'sTheGodfather,剧情 犯罪,9.3,千万不要记恨你的对手，这样会让你失去理智。
触不可及 / Intouchables / 闪亮人生(港)/逆转人生(台),剧情 喜剧,9.3,满满温情的高雅喜剧。
当幸福来敲门 / ThePursuitofHappyness / 寻找快乐的故事(港)/追求快乐,剧情 传记 家庭,9.2,平民励志片。 
寻梦环游记 / Coco / 玩转极乐园(港)/可可夜总会(台),喜剧 动画 奇幻 音乐,9.1,死亡不是真的逝去，遗忘才是永恒的消亡。
末代皇帝 / TheLastEmperor / 末代皇帝溥仪(港)/L'ultimoimperatore,剧情 传记 历史,9.3,“不要跟我比惨，我比你更惨”再适合这部电影不过了。
龙猫 / となりのトトロ / 邻居托托罗/邻家的豆豆龙,动画 奇幻 冒险,9.2,人人心中都有个龙猫，童年就永远不会消失。
怦然心动 / Flipped / 萌动青春/青春萌动,剧情 喜剧 爱情,9.1,真正的幸福是来自内心深处。
活着 / 人生/Lifetimes,剧情 历史 家庭,9.3,张艺谋最好的电影。
哈利·波特与魔法石 / HarryPotterandtheSorcerer'sStone / 哈利波特1：神秘的魔法石(港/台),奇幻 冒险,9.2,童话世界的开端。
蝙蝠侠：黑暗骑士 / TheDarkKnight / 蝙蝠侠前传2：黑暗骑士/黑暗骑士(台),剧情 动作 科幻 犯罪 惊悚,9.2,无尽的黑暗。
指环王3：王者无敌 / TheLordoftheRings:TheReturnoftheKing / 魔戒三部曲：王者再临(台/港),剧情 动作 奇幻 冒险,9.3,史诗的终章。
我不是药神 / 中国药神/印度药神,剧情 喜剧,9.0,对我们国家而言，这样的电影多一部是一部。
乱世佳人 / GonewiththeWind / 飘,剧情 历史 爱情 战争,9.3,Tomorrow is another day.
飞屋环游记 / Up / 冲天救兵(港)/天外奇迹(台),剧情 喜剧 动画 冒险,9.1,最后那些最无聊的事情，才是最值得怀念的。 
素媛 / 소원 / 许愿/希望：为爱重生(台),剧情,9.3,受过伤害的人总是笑得最开心，因为他们不愿意让身边的人承受一样的痛苦。
十二怒汉 / 12AngryMen / 12怒汉/十二怒汉,剧情,9.4,1957年的理想主义。 
哈尔的移动城堡 / ハウルの動く城 / 哈尔移动城堡(港)/霍尔的移动城堡(台),爱情 动画 奇幻 冒险,9.1,带着心爱的人在天空飞翔。
让子弹飞 / 让子弹飞一会儿/火烧云,剧情 喜剧 动作 西部,9.0,你给我翻译翻译，神马叫做TMD的惊喜。
何以为家 / كفرناحوم / 迦百农/星仔打官司(港),剧情,9.1,凝视卑弱生命，用电影改变命运。
摔跤吧！爸爸 / Dangal / 我和我的冠军女儿(台)/打死不离3父女(港),剧情 传记 运动 家庭,9.0,你不是在为你一个人战斗，你要让千千万万的女性看到女生并不是只能相夫教子。
猫鼠游戏 / CatchMeIfYouCan / 逍遥法外/捉智双雄(港),传记 犯罪 剧情,9.1,骗子大师和执著警探的你追我跑故事。 
天空之城 / 天空の城ラピュタ / 天空之城拉普他/空中城堡拉普他,动画 奇幻 冒险,9.2,对天空的追逐，永不停止。 
鬼子来了 / DevilsontheDoorstep,剧情 喜剧,9.3,对敌人的仁慈，就是对自己残忍。
海蒂和爷爷 / Heidi / 飘零燕(港)/海蒂,剧情 冒险 家庭,9.3,如果生活中有什么使你感到快乐，那就去做吧！不要管别人说什么。
